num_dialogue_facts,num_reference_facts,num_modelA_facts,num_modelA_correct_facts,num_modelA_incorrect_facts,num_modelA_omit_facts,num_modelB_facts,num_modelB_correct_facts,num_modelB_incorrect_facts,num_modelB_omit_facts
9,7,9,7,1,0,7,6,1,1
8,9,8,7,1,2,12,9,1,0
8,9,8,8,0,1,9,9,0,0
17,22,20,19,1,3,20,19,1,3
16,16,15,14,1,2,19,16,2,0
13,14,9,7,2,7,14,12,2,2
24,29,15,15,0,14,25,25,0,4
9,9,11,9,1,0,10,9,0,0
16,13,19,13,4,0,17,13,3,0
9,9,11,9,0,0,12,9,2,0
18,20,18,18,0,2,17,16,1,4
25,26,16,15,1,11,26,24,2,2
11,11,14,11,3,0,13,11,2,0
12,13,12,11,1,2,13,12,1,1
12,12,18,12,2,0,17,12,2,0
16,23,14,12,2,11,21,19,2,4
11,11,9,8,1,3,11,10,1,1
13,18,14,14,0,4,13,13,0,5
15,14,13,13,0,1,15,14,0,0
13,15,13,13,0,2,16,15,1,0
